PAPER_NAME,AUTHOR,DATE,TITLE,COUNT
No. 31,HAMILTON,1/1/1788,The Same Subject Continued: Concerning the General Power of Taxation,1738
No. 32,HAMILTON,1/2/1788,The Same Subject Continued: Concerning the General Power of Taxation,1492
No. 33,HAMILTON,1/2/1788,The Same Subject Continued: Concerning the General Power of Taxation,1694
No. 34,HAMILTON,1/5/1788,The Same Subject Continued: Concerning the General Power of Taxation,2219
No. 35,HAMILTON,1/5/1788,The Same Subject Continued: Concerning the General Power of Taxation,2258
No. 36,HAMILTON,1/8/1788,The Same Subject Continued: Concerning the General Power of Taxation,2743
No. 37,MADISON,1/11/1788,Concerning the Difficulties of the Convention in Devising a Proper Form of Government,2718
No. 38,MADISON,1/12/1788,"The Same Subject Continued, and the Incoherence of the Objections to the New Plan Exposed",3325
No. 39,MADISON,1/18/1788,The Conformity of the Plan to Republican Principles,2614
No. 40,MADISON,1/18/1788,The Powers of the Convention to Form a Mixed Government Examined and Sustained,3028
No. 41,MADISON,1/19/1788,General View of the Powers Conferred by the Constitution,3559
No. 42,MADISON,1/22/1788,The Powers Conferred by the Constitution Further Considered,2786
No. 43,MADISON,1/23/1788,The Same Subject Continued: The Powers Conferred by the Constitution Further Considered,3444
No. 44,MADISON,1/25/1788,Restrictions on the Authority of the Several States,2905
No. 45,MADISON,1/26/1788,Powers of the Union to the State Governments Considered,2125
No. 46,MADISON,1/29/1788,The Influence of the State and Federal Governments Compared,2620
No. 47,MADISON,1/30/1788,The Particular Structure of the New Government and the Distribution of Power Among Its Different Parts,2750
No. 48,MADISON,2/1/1788,These Departments Should Not Be So Far Separated as to Have No Constitutional Control Over Each Other,1868
No. 49,HAMILTON OR MADISON,2/2/1788,Method of Guarding Against the Encroachments of Any One Department of Government,1654
No. 50,HAMILTON OR MADISON,2/5/1788,Periodic Appeals to the People Considered,1112
No. 51,HAMILTON OR MADISON,2/6/1788,The Structure of the Government Must Furnish the Proper Checks and Balances Between the Different Departments,1921
No. 52,HAMILTON OR MADISON,2/8/1788,The House of Representatives,1852
No. 53,HAMILTON OR MADISON,2/9/1788,The Same Subject Continued: The House of Representatives,2172
No. 54,HAMILTON OR MADISON,2/12/1788,The Apportionment of Members Among the States,2005
No. 55,HAMILTON OR MADISON,2/13/1788,The Total Number of the House of Representatives,2044
No. 56,HAMILTON OR MADISON,2/16/1788,The Same Subject Continued: The Total Number of the House of Representatives,1575
No. 57,HAMILTON OR MADISON,2/19/1788,The Alleged Tendency of the New Plan to Elevate the Few at the Expense of the Many,2213
No. 58,MADISON,2/20/1788,Objection That The Number of Members Will Not Be Augmented as the Progress of Population Demands Considered,2093
No. 59,HAMILTON,2/22/1788,Concerning the Power of Congress to Regulate the Election of Members,1918
No. 60,HAMILTON,2/23/1788,The Same Subject Continued: Concerning the Power of Congress to Regulate the Election of Members,2253
No. 61,HAMILTON,2/26/1788,The Same Subject Continued: Concerning the Power of Congress to Regulate the Election of Members,1525
No. 62,HAMILTON OR MADISON,2/27/1788,The Senate,2391
No. 63,HAMILTON OR MADISON,3/1/1788,The Senate Continued,3043
No. 64,JAY,3/5/1788,The Powers of the Senate,2315
No. 65,HAMILTON,3/7/1788,The Powers of the Senate Continued,2024
No. 66,HAMILTON,3/8/1788,Objections to the Power of the Senate To Set as a Court for Impeachments Further Considered,2268
No. 67,HAMILTON,3/11/1788,The Executive Department,1658
No. 68,HAMILTON,3/12/1788,The Mode of Electing the President,1510
No. 69,HAMILTON,3/14/1788,The Real Character of the Executive,2998
No. 70,HAMILTON,3/15/1788,The Executive Department Further Considered,3125
No. 71,HAMILTON,3/18/1788,The Duration in Office of the Executive,1749
No. 72,HAMILTON,3/19/1788,"The Same Subject Continued, and Re-Eligibility of the Executive Considered",2044
No. 73,HAMILTON,3/21/1788,"The Provision For The Support of the Executive, and the Veto Power",2370
No. 74,HAMILTON,3/25/1788,"The Command of the Military and Naval Forces, and the Pardoning Power of the Executive",1005
No. 75,HAMILTON,3/26/1788,The Treaty Making Power of the Executive,1948
No. 76,HAMILTON,4/1/1788,The Appointing Power of the Executive,2306
No. 77,HAMILTON,4/2/1788,The Appointing Power Continued and Other Powers of the Executive Considered,1979
No. 78,HAMILTON,6/14/1788,The Judiciary Department,3066
No. 79,HAMILTON,6/18/1788,The Judiciary Continued,1040
No. 80,HAMILTON,6/21/1788,The Powers of the Judiciary,2460
No. 81,HAMILTON,6/25/1788,"The Judiciary Continued, and the Distribution of the Judicial Authority",3920
No. 82,HAMILTON,7/2/1788,The Judiciary Continued,1550
No. 83,HAMILTON,7/5/1788,The Judiciary Continued in Relation to Trial by Jury,5842
No. 84,HAMILTON,7/16/1788,Certain General and Miscellaneous Objections to the Constitution Considered and Answered,4198
No. 85,HAMILTON,8/13/1788,Concluding Remarks,2714
