Word,POS
expressed,verb_past
expression,noun
expressly,adverb
extend,verb
extended,verb_past
extending,verb
extends,noun
extension,noun
extensive,adjective
extent,noun
external,adjective
extinguish,noun
extraordinary,adjective
extravagant,noun
extreme,noun
extremely,adverb
extremity,noun
eye,noun
fabric,noun
face,noun
facilitate,noun
facility,noun
fact,noun
faction,noun
factious,adjective
faculty,noun
fail,noun
fair,noun
faith,noun
faithful,noun
fall,noun
fallacious,adjective
fallacy,noun
fallen,noun
fallible,adjective
falling,noun
false,noun
familiar,noun
family,noun
far,adverb
fatal,adjective
fate,noun
fault,noun
favor,noun
favorable,adjective
favorite,adjective
fear,noun
feared,verb_past
feature,noun
federal,adjective
feeble,adjective
feel,noun
feeling,verb
felicity,noun
fellow,noun
felt,verb_past
fewer,adjective
fidelity,noun
field,noun
fifth,noun
fifty,noun
filled,verb_past
final,adjective
finally,adverb
finance,noun
fine,noun
firm,noun
firmness,noun
fit,noun
fix,noun
fixed,verb_past
flagrant,noun
flame,noun
flatter,noun
fleet,noun
flow,noun
fluctuating,verb
fna,noun
follow,noun
followed,verb_past
following,verb
folly,adverb
foot,noun
forbear,noun
forbid,verb_past
forbids,noun
force,noun
forced,verb_past
foregoing,verb
foreign,adjective
foreigner,noun
foresee,noun
foreseen,noun
foresight,noun
forever,noun
forget,noun
forgotten,noun
form,noun
formal,noun
formation,noun
formed,verb_past
formidable,adjective
forming,noun
forth,noun
fortified,verb_past
fortitude,noun
fortune,noun
forward,noun
foundation,noun
founded,verb_past
fountain,noun
fourth,adjective
fourthly,adverb
framed,verb_past
france,noun
free,adjective
freedom,noun
freely,adverb
frequency,noun
frequent,noun
frequently,adverb
fresh,adjective
friend,noun
friendly,adverb
friendship,noun
frontier,noun
frustrate,noun
fully,adverb
function,noun
fund,noun
fundamental,noun
furnish,noun
furnished,verb_past
furnishes,noun
future,adjective
gain,noun
gained,verb_past
garrison,noun
gave,verb_past
general,adjective
generally,adverb
genius,verb
gentleman,noun
genuine,noun
georgia,noun
germany,noun
given,verb_past
giving,verb
globe,noun
glory,noun
gold,noun
gone,noun
good,adjective
govern,noun
governed,verb_past
government,noun
governor,noun
gradual,adjective
gradually,adverb
grant,adjective
granted,verb_past
granting,verb
gratify,noun
great,noun
greater,noun
greatest,noun
greatly,adverb
greatness,noun
greece,noun
gross,noun
ground,noun
grow,noun
growing,verb
grown,noun
guard,noun
guarded,verb_past
guardian,adjective
guide,noun
guilt,noun
ha,noun
habit,noun
half,noun
hampshire,noun
hand,noun
happen,noun
happened,verb_past
happens,noun
happily,adverb
happiness,adjective
happy,noun
hardly,adverb
harmless,noun
harmony,noun
having,verb
hazard,noun
hazarded,verb_past
head,noun
heard,noun
heart,noun
held,verb_past
hereditary,adjective
heretofore,noun
hesitate,noun
high,adjective
higher,adjective
highest,adjective
highly,adverb
history,noun
hitherto,preposition
hold,noun
holding,verb
home,noun
honest,noun
honor,noun
hope,noun
hoped,verb_past
hostility,noun
house,noun
human,noun
humanity,noun
humor,noun
idea,noun
ignorance,noun
ii,noun
ill,noun
illicit,noun
illustrate,noun
illustrated,verb_past
illustration,noun
imaginary,noun
imagination,noun
imagine,noun
imagined,verb_past
imbecility,noun
immediate,noun
immediately,adverb
immense,noun
immunity,noun
impartial,noun
impartiality,noun
impeachment,noun
impediment,noun
imperfect,noun
imperfection,noun
implication,noun
implied,verb_past
implies,noun
imply,adverb
import,noun
importance,noun
important,adjective
importation,noun
imported,verb_past
impose,noun
imposed,verb_past
imposition,noun
impossibility,noun
impossible,adjective
impost,noun
impracticable,adjective
impressed,verb_past
impression,noun
improbability,noun
improbable,adjective
improper,noun
impropriety,noun
improvement,noun
impulse,noun
impunity,noun
imputation,noun
inadequate,noun
inadmissible,adjective
incapable,adjective
incapacity,noun
incident,noun
inclination,noun
incline,noun
inclined,verb_past
included,verb_past
incompatible,adjective
inconsiderable,adjective
inconsistent,noun
inconvenience,noun
inconvenient,noun
increase,noun
increased,verb_past
increasing,verb
incurred,verb_past
indefinite,adjective
independence,noun
independent,noun
indian,noun
indication,noun
indignation,noun
indirect,noun
indispensable,adjective
individual,adjective
individually,adverb
induce,noun
induced,verb_past
inducement,noun
indulge,noun
industrious,adjective
industry,noun
inevitable,adjective
inevitably,adverb
infallible,adjective
infallibly,adverb
infer,verb
inference,noun
inferior,noun
inferred,verb_past
infinite,adjective
infinitely,adverb
infirmity,noun
influence,noun
influenced,verb_past
influential,adjective
inform,noun
information,noun
informed,verb_past
infraction,noun
ingenious,adjective
ingredient,noun
inhabitant,noun
inherent,noun
injudicious,adjective
injured,verb_past
injurious,adjective
injury,noun
injustice,noun
innocent,noun
innovation,noun
inquire,noun
inquiry,noun
inseparable,adjective
inserted,verb_past
insist,noun
inspection,noun
inspire,noun
instance,noun
instead,adverb
instituted,verb_past
institution,noun
instruction,noun
instrument,noun
insufficient,noun
insuperable,adjective
insure,noun
insurrection,noun
integrity,noun
intelligence,noun
intelligent,noun
intended,verb_past
intention,noun
intercourse,noun
interdiction,noun
interested,verb_past
interesting,adjective
interference,noun
interfering,verb
interior,adjective
intermediate,noun
intermission,noun
internal,adjective
interpose,noun
interposition,noun
interpretation,noun
interval,noun
intervention,noun
intimate,noun
intricate,noun
intrigue,noun
intrinsic,noun
introduce,noun
introduced,verb_past
introducing,verb
introduction,noun
intrusted,verb_past
invaded,verb_past
invasion,noun
invested,verb_past
investigation,noun
invite,preposition
involve,noun
involved,verb_past
involves,noun
involving,verb
irreconcilable,adjective
irregular,noun
irresistible,adjective
island,noun
issue,noun
jealous,verb
jealousy,adjective
jeopardy,noun
jersey,noun
joint,noun
judge,noun
judged,verb_past
judging,verb
judgment,noun
judicatory,noun
judicial,adjective
judiciary,noun
judicious,adjective
jurisdiction,noun
jury,noun
just,adverb
justice,noun
justify,noun
justly,adverb
justness,noun
keeping,verb
kept,noun
kind,noun
kindred,verb_past
king,verb
kingdom,noun
know,noun
knowledge,noun
known,verb_past
labor,noun
labored,verb_past
laborious,adjective
laid,noun
lament,noun
land,noun
language,noun
large,adjective
larger,noun
largest,adjective
lastly,adverb
late,adjective
lately,adverb
latitude,adjective
laudable,adjective
law,noun
lay,noun
laying,verb
le,noun
lead,noun
leader,noun
leading,verb
leaf,noun
league,noun
leave,noun
leaving,verb
led,verb_past
left,noun
legal,adjective
legislation,noun
legislative,adjective
legislature,noun
legitimate,noun
length,noun
lesser,noun
lesson,noun
let,noun
level,noun
levy,noun
liable,adjective
liberty,noun
lie,noun
life,noun
light,noun
like,preposition
likely,adjective
likewise,noun
limit,noun
limitation,noun
limited,verb_past
line,noun
link,noun
list,noun
little,adverb
live,adjective
local,adjective
lodged,adjective
long,adjective
longer,noun
look,noun
looked,verb_past
lord,noun
lose,noun
loss,noun
lost,verb_past
lot,noun
love,noun
low,adjective
machine,noun
magistracy,noun
magistrate,noun
magnitude,noun
main,noun
maintain,noun
maintained,verb_past
maintaining,verb
majesty,noun
major,adjective
majority,noun
make,noun
making,verb
man,noun
management,noun
manifest,noun
mankind,noun
manner,noun
manufacture,noun
manufacturing,noun
maritime,noun
mark,noun
marked,verb_past
market,noun
maryland,noun
mass,noun
massachusetts,noun
master,noun
material,noun
materially,adverb
matter,noun
mature,noun
maxim,noun
mean,noun
meaning,noun
meant,verb_past
measure,noun
meditated,verb_past
medium,noun
meet,noun
meeting,noun
melancholy,adverb
member,noun
memory,noun
men,noun
mention,noun
mentioned,verb_past
mercantile,adjective
merchant,noun
mercy,noun
mere,adverb
merely,adverb
merit,noun
met,noun
method,noun
mild,noun
military,adjective
militia,noun
million,noun
mind,noun
minister,noun
minor,noun
minority,noun
minute,noun
mischief,noun
misfortune,noun
mislead,noun
misrepresentation,noun
mistake,noun
mistaken,noun
mixture,noun
mode,noun
model,noun
moderate,noun
moderation,noun
modern,noun
modification,noun
moment,noun
momentary,noun
monarch,noun
monarchy,noun
money,noun
monster,noun
monument,noun
moral,adjective
motif,noun
motion,noun
motive,noun
movement,noun
mr,noun
multiplication,noun
multiplied,verb_past
multiply,adverb
multitude,noun
municipal,adjective
mutable,adjective
mutual,adjective
mutually,adverb
narrow,adjective
nation,noun
national,adjective
natural,adjective
naturally,adverb
nature,noun
naval,noun
navigation,noun
navy,noun
nay,noun
near,preposition
nearly,adverb
necessarily,adverb
necessary,adjective
necessity,noun
need,noun
negative,adjective
negotiation,noun
neighbor,noun
neighborhood,noun
neighboring,verb
netherlands,noun
new,adjective
nobility,noun
noble,adjective
nominal,adjective
nomination,noun
non,noun
north,noun
notice,noun
notorious,adjective
notwithstanding,noun
nugatory,noun
number,noun
numerous,adjective
oath,noun
object,noun
objected,verb_past
objection,noun
objector,noun
obligation,noun
obligatory,noun
oblige,noun
obliged,verb_past
obnoxious,adjective
observation,noun
observe,noun
observed,verb_past
obstacle,noun
obstruct,noun
obstruction,noun
obtain,noun
obtained,verb_past
obtaining,verb
obviate,noun
obvious,adjective
occasion,noun
occasional,adjective
occasionally,adverb
occasioned,verb_past
occupation,noun
occur,noun
odious,adjective
offense,noun
offensive,noun
offered,verb_past
office,noun
officer,noun
official,noun
offspring,verb
oftener,noun
old,adjective
omission,noun
open,adjective
operate,noun
operation,noun
opinion,noun
opponent,noun
opportunity,noun
oppose,noun
opposed,verb_past
opposite,adjective
opposition,noun
oppress,noun
oppression,noun
oppressive,noun
oppressor,noun
option,noun
opulent,noun
order,noun
ordinary,noun
ordinate,noun
organ,noun
organization,noun
origin,noun
original,adjective
originate,noun
ought,modal
outrage,verb
overmatch,noun
overrule,noun
owe,noun
page,noun
paid,verb_past
palpable,adjective
paper,noun
parchment,noun
pardon,noun
parent,noun
parliament,noun
partake,noun
partial,noun
partiality,noun
participate,noun
particular,adjective
particularly,adverb
partisan,adjective
partition,noun
party,noun
pas,noun
passage,noun
passed,verb_past
passing,verb
passion,noun
past,noun
patriotic,adjective
patriotism,noun
patron,noun
pay,noun
paying,verb
payment,noun
peace,noun
peculiar,noun
peculiarity,noun
peculiarly,adverb
pecuniary,adjective
pennsylvania,noun
people,noun
perceive,adjective
perceived,verb_past
perfect,noun
perfection,noun
perfectly,adverb
perform,noun
performance,noun
performed,verb_past
period,noun
periodical,adjective
permanency,noun
permanent,noun
permit,noun
permitted,verb_past
pernicious,adjective
perpetual,adjective
perplexity,noun
person,noun
personal,adjective
personally,adverb
persuade,adjective
persuaded,verb_past
pervert,noun
picture,noun
piece,noun
place,noun
placed,verb_past
placing,verb
plain,noun
plan,noun
planned,verb_past
plausibility,noun
plausible,adjective
pleasure,noun
point,noun
pointed,verb_past
poison,noun
policy,noun
politic,adjective
political,adjective
politician,noun
politics,noun
popular,adjective
popularity,noun
population,noun
portion,noun
position,noun
positive,adjective
posse,noun
possessed,verb_past
possessing,verb
possession,noun
possibility,noun
possible,adjective
possibly,adverb
post,noun
posterity,noun
power,noun
powerful,adjective
practicable,adjective
practical,adjective
practice,noun
practiced,verb_past
pre,noun
precarious,adjective
precaution,noun
precedent,noun
preceding,verb
precious,adjective
precise,noun
precisely,adverb
preclude,verb
predecessor,noun
predilection,noun
predominant,noun
prefer,noun
preferable,adjective
preference,noun
preferred,verb_past
prejudice,noun
prepared,verb_past
prerogative,noun
prescribe,noun
prescribed,verb_past
present,noun
preservation,noun
preserve,noun
preserved,verb_past
preserving,verb
preside,noun
president,noun
presume,noun
presumed,verb_past
presumption,noun
pretend,noun
pretended,verb_past
pretense,noun
pretension,noun
pretext,noun
pretty,adverb
prevail,adjective
prevailed,verb_past
prevailing,verb
prevails,noun
prevent,noun
prevented,verb_past
preventing,verb
previous,adjective
previously,adverb
prey,noun
price,noun
pride,noun
primary,adjective
primitive,adjective
prince,noun
principal,noun
principally,adverb
principle,noun
prior,adverb
private,adjective
privilege,noun
prize,noun
probability,noun
probable,adjective
probably,adverb
proceed,verb_past
proceeded,verb_past
proceeding,noun
proceeds,noun
process,noun
produce,noun
produced,verb_past
production,noun
productive,adjective
prof,noun
profess,noun
profession,noun
profit,noun
profound,noun
progress,noun
progressive,adjective
prohibit,noun
prohibited,verb_past
prohibition,noun
project,noun
promise,noun
promote,noun
promoted,verb_past
prompt,noun
pronounce,noun
pronounced,verb_past
proof,preposition
propensity,noun
proper,noun
properly,adverb
property,noun
proportion,noun
proportionably,adverb
proportioned,verb_past
propose,noun
proposed,verb_past
proposing,verb
proposition,noun
propriety,noun
prosecution,noun
prospect,noun
prosperity,noun
protect,noun
protection,noun
prove,noun
proved,verb_past
provide,verb
provided,verb_past
provides,noun
providing,verb
province,noun
provision,noun
prudence,noun
prudent,noun
public,adjective
publication,noun
publius,verb
punish,adjective
punishment,noun
purpose,noun
pursue,noun
pursued,verb_past
pursuit,noun
qualification,noun
qualified,verb_past
quality,noun
quantity,noun
quarter,noun
quell,noun
question,noun
quota,noun
quoted,verb_past
radical,adjective
rage,noun
raise,noun
raised,verb_past
raising,verb
rank,noun
rapid,noun
rarely,adverb
rate,noun
ratification,noun
ratified,verb_past
ratio,noun
rational,adjective
reach,noun
readily,adverb
ready,adjective
real,adjective
reality,noun
really,adverb
reason,noun
reasonable,adjective
reasonably,adverb
reasoning,verb
rebellion,noun
receive,adjective
received,verb_past
reciprocal,adjective
recollect,noun
recollected,verb_past
recommend,noun
recommendation,noun
recommended,verb_past
record,noun
recourse,noun
recur,noun
redress,noun
reduce,noun
reduced,verb_past
refer,noun
reference,noun
referred,verb_past
refinement,noun
reflect,noun
reflection,noun
reform,noun
regard,noun
regarded,verb_past
region,noun
regret,noun
regular,adjective
regulate,noun
regulated,verb_past
regulating,verb
regulation,noun
reign,noun
reject,noun
rejected,verb_past
relate,adjective
relates,noun
relating,verb
relation,noun
relative,adjective
relied,adjective
relief,noun
religion,noun
rely,adverb
remain,verb
remained,verb_past
remaining,verb
remains,noun
remark,verb
remarkable,adjective
remarked,verb_past
remedy,noun
remote,noun
remove,noun
removed,verb_past
render,noun
rendered,verb_past
rendering,verb
renounce,noun
repeated,verb_past
repetition,noun
reported,verb_past
repose,adjective
represent,noun
representation,noun
representative,noun
represented,verb_past
representing,verb
republic,adjective
republican,noun
repugnancy,noun
reputation,noun
require,noun
required,verb_past
requires,noun
requiring,verb
requisite,adjective
requisition,noun
resentment,noun
reserved,verb_past
reside,noun
residuary,noun
residue,noun
resist,noun
resistance,noun
resolution,noun
resolve,noun
resort,noun
resource,noun
respect,noun
respectability,noun
respectable,adjective
respecting,noun
respective,adjective
respectively,adverb
responsibility,noun
responsible,adjective
rest,noun
restrain,noun
restrained,verb_past
restraining,verb
restraint,noun
restricted,verb_past
restriction,noun
result,noun
resulted,verb_past
resulting,verb
retain,noun
retained,verb_past
return,noun
revenue,noun
reverse,noun
review,noun
reviewed,verb_past
revision,noun
revolt,noun
revolution,noun
rhode,noun
rich,noun
right,adverb
rigid,adjective
rise,noun
risk,noun
rival,noun
rivalship,noun
