Word,POS
growing,verb
grown,noun
growth,noun
guarantee,noun
guaranty,noun
guard,noun
guidance,noun
guide,noun
guided,verb_past
ha,noun
habit,noun
half,noun
hand,noun
happily,adverb
happiness,noun
happy,noun
harbor,noun
hard,adverb
harmonious,adjective
harmony,noun
hatred,verb_past
having,verb
head,noun
heal,noun
health,noun
hear,noun
heard,noun
heart,noun
heaven,adverb
heavy,adjective
height,noun
held,noun
help,noun
helped,verb_past
helpful,adjective
helping,noun
hemisphere,adverb
heretofore,verb
heritage,noun
hero,noun
heroic,adjective
high,noun
higher,adjective
highest,adjective
historic,adjective
history,noun
hitherto,noun
hold,noun
home,noun
honest,noun
honestly,adverb
honesty,adjective
honor,noun
honorable,adjective
honored,verb_past
hope,noun
hoped,verb_past
hostile,adjective
hostility,noun
hour,noun
house,noun
human,noun
humane,noun
humanity,noun
humble,adjective
humbly,adverb
humility,noun
hunger,noun
hungry,noun
idea,noun
ideal,noun
idealism,noun
ignorance,noun
ignorant,noun
ill,noun
illustrious,adjective
image,noun
immediate,noun
immediately,adverb
immigration,noun
imperative,adjective
imperatively,adverb
import,noun
importance,noun
important,adjective
impose,noun
imposed,verb_past
imposes,noun
impossible,adjective
impressed,verb_past
improve,noun
improvement,noun
inauguration,noun
incident,noun
including,verb
income,noun
increase,noun
increased,verb_past
increasing,verb
independence,noun
independent,noun
indian,noun
indispensable,adjective
individual,adjective
indulgence,noun
industrial,adjective
industry,noun
inestimable,adjective
inevitable,adjective
infancy,noun
inflict,noun
influence,noun
information,noun
informed,verb_past
inhabitant,adjective
inheritance,noun
initiative,noun
injurious,adjective
injury,noun
injustice,noun
inseparable,adjective
insist,noun
inspiration,noun
inspire,noun
inspired,verb_past
inspires,noun
instance,noun
instead,adverb
instituted,verb_past
institution,noun
instruction,noun
instrument,noun
instrumentality,noun
insure,noun
integrity,noun
intellectual,adjective
intelligence,noun
intelligent,noun
intended,verb_past
intention,noun
intercourse,noun
interested,verb_past
interfere,adverb
interference,noun
interior,adverb
internal,adjective
international,adjective
intrigue,noun
intrusted,verb_past
invariably,adverb
invasion,noun
invested,verb_past
investment,noun
invite,noun
invoke,noun
invoking,verb
involve,noun
involved,verb_past
involves,noun
island,verb
isolation,noun
issue,noun
jealous,verb
jealousy,adjective
jefferson,noun
job,noun
join,noun
journey,noun
judge,noun
judgment,noun
judicial,noun
jurisdiction,noun
just,adverb
justice,noun
justify,noun
justly,adverb
keeping,verb
kept,preposition
kind,noun
kindness,noun
knew,verb_past
know,adverb
knowing,verb
knowledge,noun
known,noun
labor,noun
laboring,verb
laid,noun
land,noun
language,noun
large,adjective
largely,adverb
larger,adjective
largest,adjective
lasting,verb
late,adjective
lately,adverb
later,adjective
law,noun
lawful,adjective
lay,noun
le,noun
lead,noun
leader,noun
leadership,noun
leading,verb
learn,noun
learned,verb_past
leave,noun
leaving,noun
led,verb_past
left,verb_past
legal,adjective
legislation,noun
legislative,adjective
legislature,noun
legitimate,noun
length,noun
lesson,noun
let,noun
letter,noun
level,noun
liberal,noun
liberty,noun
lie,noun
life,noun
lifetime,noun
lift,noun
light,noun
like,preposition
likely,adjective
limit,noun
limitation,noun
limited,verb_past
line,noun
little,adverb
live,adjective
living,noun
local,adjective
long,adjective
longer,noun
look,noun
looked,verb_past
looking,verb
lord,noun
lose,noun
loss,noun
lost,verb_past
lot,noun
love,noun
loving,noun
lower,adjective
loyal,noun
loyalty,noun
magistrate,noun
magnitude,noun
maintain,noun
maintained,verb_past
maintaining,verb
maintenance,noun
majesty,noun
majority,noun
make,verb
making,verb
man,noun
manage,noun
management,noun
mandate,noun
manifest,noun
manifestation,noun
mankind,noun
manner,noun
manufacture,noun
manufacturer,noun
manufacturing,noun
march,noun
marched,verb_past
mark,noun
marked,verb_past
market,noun
mass,noun
master,noun
material,noun
matter,noun
mean,noun
meaning,noun
meant,verb_past
meantime,noun
measure,noun
meet,noun
meeting,noun
member,noun
memory,noun
men,noun
menace,noun
mercy,noun
mere,adverb
merely,adverb
merit,noun
met,noun
method,noun
middle,noun
midst,noun
mighty,noun
military,adjective
militia,noun
million,noun
mind,noun
mindful,adjective
minority,noun
misery,noun
mission,noun
mississippi,noun
mistake,noun
mode,noun
model,noun
moderate,noun
modern,noun
moment,noun
momentous,adjective
money,noun
month,noun
moral,adjective
morality,noun
mother,noun
motif,preposition
motive,adjective
mountain,noun
moved,verb_past
movement,noun
moving,verb
mr,noun
mutual,adjective
narrow,noun
nation,noun
national,adjective
native,adjective
natural,adjective
nature,noun
naval,noun
navy,noun
near,preposition
nearly,adverb
necessarily,adverb
necessary,adjective
necessity,noun
need,noun
needed,verb_past
neglect,noun
negotiation,noun
neighbor,noun
neutrality,noun
new,adjective
night,noun
noble,adjective
noblest,noun
north,noun
nuclear,noun
number,noun
oath,noun
obedience,noun
object,noun
objection,noun
objective,noun
obligation,noun
observance,noun
observation,noun
observe,noun
observed,verb_past
obstacle,noun
obvious,adjective
occasion,noun
occur,noun
occurred,verb_past
ocean,adjective
offer,noun
office,noun
officer,noun
official,noun
old,adjective
onward,noun
open,adjective
opened,verb_past
opening,verb
operation,noun
opinion,noun
opportunity,noun
oppose,noun
opposed,verb_past
opposition,noun
oppression,noun
order,noun
ordered,verb_past
orderly,adverb
ordinary,adjective
organization,noun
organized,verb_past
origin,noun
original,adjective
ought,noun
outline,noun
outset,noun
overthrow,noun
pacific,noun
paid,verb_past
parallel,noun
parent,noun
partial,noun
participation,noun
particular,adjective
partisan,noun
partisanship,noun
party,noun
pas,noun
passed,verb_past
passing,verb
passion,noun
past,noun
path,noun
patient,noun
patriot,noun
patriotic,adjective
patriotism,noun
patronage,noun
pay,noun
payment,noun
peace,noun
peaceful,adjective
peculiar,noun
pecuniary,noun
penalty,noun
people,noun
perfect,verb
perfection,noun
perfectly,adverb
perform,noun
performance,noun
performed,verb_past
peril,noun
period,noun
permanent,noun
permit,noun
permitted,verb_past
permitting,verb
perpetual,adjective
perpetuate,noun
person,noun
personal,adjective
physical,adjective
place,noun
placed,verb_past
plain,noun
plainly,adverb
plan,noun
planet,noun
platform,noun
play,noun
pleasure,noun
pledge,noun
pledged,verb_past
plenty,noun
point,noun
policy,noun
political,adjective
politics,noun
poor,adjective
popular,adjective
population,noun
portion,noun
position,noun
posse,noun
possessed,verb_past
possession,noun
possibility,noun
possible,adjective
posterity,noun
potent,noun
poverty,noun
power,noun
powerful,adjective
practicable,adjective
practical,adjective
practice,noun
pray,noun
prayer,noun
precious,adjective
precisely,adverb
predecessor,noun
prefer,noun
prejudice,noun
preparation,noun
prepared,verb_past
prescribed,verb_past
presence,noun
present,noun
presented,verb_past
preservation,noun
preserve,noun
preserved,verb_past
preserving,verb
presidency,noun
president,noun
presidential,adjective
press,noun
pressing,verb
pressure,noun
prevail,noun
prevent,noun
prevented,verb_past
price,noun
pride,noun
principal,noun
principle,noun
private,adjective
privilege,noun
problem,noun
proceed,verb_past
proceeding,verb
process,noun
proclaim,noun
proclaimed,verb_past
produce,noun
produced,verb_past
product,noun
production,noun
productive,noun
profit,noun
profound,noun
program,noun
progress,noun
prominent,noun
promise,noun
promote,noun
promoted,verb_past
promoting,verb
promotion,noun
prompt,noun
promptly,adverb
proof,adjective
proper,noun
properly,adverb
property,noun
propose,noun
proposed,verb_past
prospect,noun
prosper,noun
prosperity,noun
prosperous,adjective
protect,noun
protected,verb_past
protecting,verb
protection,noun
proud,noun
prove,noun
proved,verb_past
provide,verb
provided,verb_past
providence,noun
provision,noun
prudence,noun
prudent,noun
public,adjective
punishment,noun
pure,noun
purely,adverb
purity,noun
purpose,noun
pursue,noun
pursued,verb_past
pursuit,noun
putting,verb
qualification,noun
quality,noun
quarter,noun
question,noun
questioned,verb_past
quiet,adjective
race,noun
raise,noun
raised,verb_past
rank,noun
rapid,verb_past
rapidly,adverb
rate,noun
reach,noun
reached,verb_past
reaching,verb
read,noun
ready,adverb
real,adjective
reality,noun
realization,noun
realize,noun
realized,verb_past
really,adverb
reason,noun
reasonable,adjective
recall,noun
receive,adjective
received,verb_past
recent,adjective
recently,adverb
recognition,noun
recognize,noun
recognized,verb_past
recommend,noun
recommendation,noun
recommended,verb_past
record,noun
redemption,noun
reduce,noun
reduced,verb_past
reduction,noun
refer,noun
reference,noun
reflect,noun
reflection,noun
reform,noun
regard,noun
region,noun
regular,noun
regulated,verb_past
regulation,noun
reign,noun
reject,noun
rejected,verb_past
rejoice,noun
relation,noun
relationship,noun
relative,adjective
reliance,noun
relief,noun
relieve,noun
religion,noun
religious,adjective
rely,adverb
relying,verb
remain,noun
remaining,verb
remains,noun
remedy,adjective
remember,noun
remembered,verb_past
remembering,verb
removal,noun
remove,noun
removed,verb_past
render,noun
rendered,verb_past
renew,noun
renewal,noun
renewed,verb_past
repeat,noun
repeated,verb_past
replace,noun
repose,noun
reposed,verb_past
representative,adjective
republic,adjective
republican,noun
require,noun
required,verb_past
requirement,noun
requires,verb
requisite,adjective
reserved,verb_past
resist,noun
resolution,noun
resolve,noun
resolved,verb_past
resort,noun
resource,noun
respect,noun
respected,verb_past
respecting,verb
respective,adjective
responsibility,noun
responsible,adjective
rest,noun
resting,verb
restoration,noun
restore,noun
restored,verb_past
restraint,noun
result,noun
resulting,verb
retirement,noun
retreat,noun
return,noun
returned,verb_past
revealed,verb_past
revenue,noun
reverence,noun
reverently,adverb
reverse,adjective
revolution,noun
revolutionary,noun
reward,noun
rich,noun
right,adverb
righteousness,verb
rightful,adjective
rightfully,adverb
rigid,adjective
rise,noun
rising,verb
risk,noun
river,noun
road,noun
role,noun
ruin,noun
rule,noun
ruler,noun
run,verb_past
s,noun
sacred,verb_past
sacredly,adverb
sacrifice,noun
safe,noun
safeguard,noun
safely,adverb
safer,verb
safety,noun
said,verb_past
salutary,adjective
sanction,noun
sanctioned,verb_past
sanctity,noun
satisfaction,noun
satisfactory,noun
save,noun
saved,verb_past
saving,verb
saw,noun
say,noun
scarcely,adverb
scene,noun
scheme,noun
school,noun
science,noun
scope,noun
sea,noun
search,noun
season,noun
second,noun
section,noun
sectional,adjective
secure,noun
secured,verb_past
securing,verb
security,noun
seek,noun
seeking,verb
seen,verb_past
selected,verb_past
selection,noun
self,noun
selfish,noun
senate,noun
senator,noun
sense,noun
sentiment,noun
separate,noun
seriously,adverb
servant,adjective
serve,noun
served,verb_past
service,noun
servitude,noun
session,noun
set,noun
settled,verb_past
settlement,noun
shaken,verb_past
shall,modal
shape,verb
share,noun
shared,verb_past
shield,noun
shore,preposition
short,adjective
shown,noun
shrink,noun
sick,noun
sight,noun
similar,adjective
simple,noun
single,adjective
situation,noun
size,noun
skill,noun
slave,noun
slavery,noun
slightest,noun
slow,noun
small,adjective
smaller,noun
social,adjective
society,noun
soil,noun
soldier,noun
sole,noun
solemn,noun
solemnity,noun
solicitude,noun
solution,noun
solve,noun
son,noun
soon,adverb
sorrow,noun
sought,verb_past
soul,adjective
sound,noun
source,noun
south,noun
southern,noun
sovereign,noun
sovereignty,noun
speak,noun
speaker,noun
speaking,verb
special,adjective
specie,noun
spectacle,noun
speech,noun
speedy,noun
sphere,adverb
spirit,noun
spiritual,adjective
splendid,noun
spoke,noun
spoken,noun
spread,noun
spring,noun
stability,noun
stage,noun
stand,noun
standard,noun
standing,noun
star,noun
state,noun
statement,noun
statesman,noun
station,noun
steadily,adverb
steady,adjective
step,noun
stood,noun
stop,noun
storm,noun
story,noun
stranger,noun
strength,noun
strengthen,adverb
strengthened,verb_past
strengthening,verb
strict,noun
strictly,adverb
strife,noun
striking,verb
strive,adjective
strong,adjective
stronger,noun
strongest,adjective
strongly,adverb
structure,noun
struggle,noun
struggling,verb
study,noun
subject,noun
submit,noun
submitted,verb_past
succeed,verb_past
success,noun
successful,adjective
successfully,adverb
successor,noun
suffer,verb
suffered,verb_past
suffering,verb
sufficient,noun
sufficiently,adverb
suffrage,noun
suggest,verb
sum,noun
summon,noun
summoned,verb_past
superior,adjective
supervision,noun
supplication,noun
supply,noun
support,noun
supported,verb_past
supporting,verb
supposed,verb_past
suppression,noun
supreme,noun
sure,noun
surely,adverb
surest,adjective
surplus,noun
surrender,noun
suspicion,noun
sustain,noun
sustained,verb_past
swift,noun
sword,noun
sympathy,noun
taken,verb_past
taking,verb
talent,noun
tariff,noun
task,noun
taught,verb_past
tax,noun
taxation,noun
teach,noun
tell,noun
temporary,noun
temptation,noun
tend,noun
tendency,noun
term,noun
territorial,noun
territory,noun
terror,noun
test,noun
th,noun
thank,noun
theirs,noun
theory,noun
thereof,preposition
thing,noun
think,noun
thirteen,preposition
thirty,noun
thorough,preposition
thought,noun
thoughtful,adjective
thousand,noun
threat,noun
threaten,noun
threatened,verb_past
threatening,verb
threatens,noun
thrift,noun
tide,noun
tie,noun
time,noun
timeless,noun
title,noun
today,noun
toil,noun
told,verb_past
tolerance,noun
tomorrow,noun
took,verb_past
total,adjective
town,noun
trade,noun
tradition,noun
tranquillity,noun
transaction,noun
transfer,noun
transmit,noun
transportation,noun
treason,noun
treasure,noun
treasury,noun
treated,verb_past
treatment,noun
treaty,noun
tremendous,adjective
trial,noun
tribe,noun
tribunal,adjective
tried,adjective
triumph,noun
true,noun
truly,adverb
trust,adjective
truth,noun
try,noun
trying,verb
turn,noun
turning,verb
tyranny,noun
u,noun
ultimate,noun
ultimately,adverb
understand,verb
understanding,verb
understood,noun
undertake,noun
undertaken,noun
undertaking,verb
unequal,adjective
unimpaired,adjective
union,noun
unite,noun
united,verb_past
unity,noun
universal,noun
unjust,noun
unless,preposition
unlimited,verb_past
unmindful,adjective
unnecessary,adjective
unwilling,noun
unworthy,noun
uphold,noun
urge,noun
urged,verb_past
urgent,noun
use,noun
used,verb_past
useful,adjective
usefulness,noun
utmost,noun
valley,noun
valuable,adjective
value,noun
varied,verb_past
variety,noun
various,adjective
vast,noun
venture,noun
verdict,noun
vested,verb_past
vice,noun
vicissitude,noun
victory,noun
view,noun
vigor,noun
vigorous,adjective
violate,noun
violation,noun
violence,noun
virtue,noun
virtuous,adjective
vision,noun
vital,noun
voice,noun
volume,noun
voluntary,noun
vote,noun
wa,noun
wage,noun
walk,noun
want,noun
war,noun
washington,noun
waste,noun
watch,noun
watchful,noun
way,noun
weak,noun
weakened,verb_past
weakness,noun
wealth,noun
weapon,noun
weight,noun
welcome,noun
welfare,noun
west,noun
western,noun
whilst,noun
white,noun
wholesome,noun
wholly,adverb
wide,adjective
willing,adjective
willingness,noun
win,noun
wind,noun
wisdom,noun
wise,noun
wisely,adverb
wisest,adjective
wish,noun
withheld,noun
witness,noun
witnessed,verb_past
woman,noun
wonder,noun
word,noun
work,noun
working,verb
world,noun
worth,noun
worthy,noun
write,noun
written,verb_past
wrong,adjective
year,noun
yes,noun
yield,noun
young,adjective
zeal,noun
zealous,adjective
zealously,adverb
